Date,Lat,Lng,City,Country,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
6/13/2018,61.99,5.14,Raudeberg,NO,75,71,60.8,11.41
6/13/2018,-51.62,-69.22,Rio Gallegos,AR,20,86,33.8,5.82
6/13/2018,-14.9,50.28,Antalaha,MG,88,85,75.01,14.14
6/13/2018,35.63,111.36,Houma,CN,0,58,62.32,2.51
6/13/2018,67.55,133.39,Verkhoyansk,RU,0,63,56.29,2.62
6/13/2018,45.45,41.98,Donskoye,RU,0,30,80.6,6.71
6/13/2018,2.04,45.34,Mogadishu,SO,64,100,78.25,22.08
6/13/2018,40.39,-90.15,Lewistown,US,1,53,78.8,12.75
6/13/2018,69.38,178.42,Leningradskiy,RU,0,88,33.79,21.74
6/13/2018,-8.93,125.41,Airai,TL,76,93,68.98,1.72
6/13/2018,41.28,-70.1,Nantucket,US,90,77,69.8,17.22
6/13/2018,-37.83,140.78,Mount Gambier,AU,92,81,49.72,6.87
6/13/2018,-4.94,122.53,Katobu,ID,24,100,77.98,2.62
6/13/2018,36.55,104.13,Baiyin,CN,0,31,60.8,4.47
6/13/2018,29.28,82.18,Jumla,NP,88,95,37.75,2.51
6/13/2018,-20.95,164.69,Voh,NC,8,100,71.59,14.81
6/13/2018,39.28,141.86,Kamaishi,JP,0,78,53.95,12.8
6/13/2018,36.86,70.83,Jurm,AF,56,100,40.09,1.61
6/13/2018,55.1,-105.3,La Ronge,CA,75,76,53.6,8.05
6/13/2018,-3,-47.35,Paragominas,BR,20,56,91.93,5.41
6/13/2018,64.84,-147.72,Fairbanks,US,1,75,42.8,3.36
6/13/2018,41.28,20.71,Poum,MK,40,47,78.8,8.05
6/13/2018,53.97,-8.3,Boyle,IE,75,100,55.4,18.34
6/13/2018,62.23,-6.59,Klaksvik,FO,92,93,48.2,19.46
6/13/2018,53.48,40.21,Aleksandro-Nevskiy,RU,0,49,74.2,9.78
6/13/2018,36.07,-79.4,Graham,US,75,78,75.2,9.17
6/13/2018,24.01,-104.61,Paraiso,MX,75,68,66.2,3.36
6/13/2018,35.74,139.53,Nishihara,JP,75,68,69.8,3.36
